# Run number 01 on Fri May 31 09:32:26 2019
# time	TA	TB	TC	TD	T1	T2	T3	T4	DP	P2	P1
    1.2	 26.5	 33.0	 26.5	 22.5	 23.7	 40.2	 23.9	 27.7	 0.264	 9.997	 5.600
    1.4	 26.5	 33.0	 26.5	 22.4	 23.7	 40.2	 23.9	 27.7	 0.261	10.017	 5.600
    2.2	 26.5	 33.3	 26.4	 22.4	 23.7	 40.5	 23.9	 27.4	 0.257	10.120	 5.539
    3.1	 26.5	 33.9	 25.8	 22.4	 23.7	 40.8	 23.9	 26.8	 0.259	10.120	 5.457
    3.8	 26.5	 34.2	 25.8	 22.4	 23.8	 41.3	 23.8	 26.4	 0.261	10.140	 5.396
    4.7	 26.5	 34.4	 25.8	 22.4	 23.8	 41.7	 23.6	 26.1	 0.265	10.222	 5.293
    5.5	 26.4	 34.9	 25.8	 22.4	 23.7	 41.9	 23.5	 25.3	 0.262	10.263	 5.171
    6.3	 26.4	 35.1	 25.7	 22.4	 23.5	 42.5	 23.3	 25.0	 0.266	10.304	 5.089
    7.1	 26.4	 35.2	 25.6	 22.4	 23.3	 42.8	 22.9	 24.6	 0.263	10.263	 5.028
    8.0	 26.4	 35.5	 25.4	 22.4	 22.4	 43.1	 22.7	 24.0	 0.261	10.324	 4.987
    8.7	 26.4	 35.6	 25.3	 22.4	 21.8	 43.6	 22.5	 23.6	 0.259	10.324	 4.946
    9.6	 26.3	 35.7	 25.2	 22.4	 21.3	 43.8	 22.1	 23.3	 0.263	10.324	 4.905
   10.4	 26.3	 35.8	 25.0	 22.4	 20.5	 44.1	 21.7	 23.0	 0.259	10.365	 4.844
   11.2	 26.3	 36.0	 24.7	 22.4	 19.8	 44.3	 21.2	 22.5	 0.267	10.365	 4.783
   12.0	 26.3	 36.1	 24.6	 22.4	 17.3	 44.7	 20.1	 22.2	 0.260	10.406	 4.783
   12.9	 26.3	 36.1	 24.5	 22.4	 15.3	 44.9	 19.6	 21.9	 0.266	10.345	 4.701
   13.7	 26.2	 36.2	 24.3	 22.4	 14.9	 45.1	 19.0	 21.4	 0.262	10.386	 4.701
   14.5	 26.2	 36.3	 24.2	 22.4	 14.6	 45.4	 18.2	 21.1	 0.255	10.365	 4.660
   15.3	 26.2	 36.3	 24.1	 22.4	 14.3	 45.5	 17.9	 20.8	 0.263	10.426	 4.640
   16.2	 26.1	 36.4	 24.0	 22.4	 13.9	 45.7	 17.7	 20.4	 0.259	10.365	 4.619
   16.9	 26.2	 36.4	 23.9	 22.4	 13.7	 45.9	 17.5	 20.2	 0.263	10.426	 4.599
   17.8	 26.1	 36.5	 23.8	 22.4	 13.5	 45.9	 17.5	 19.9	 0.267	10.406	 4.578
   18.6	 26.1	 36.5	 23.6	 22.4	 13.2	 45.9	 17.5	 19.6	 0.259	10.426	 4.558
   19.4	 26.1	 36.5	 23.6	 22.4	 13.1	 46.1	 17.6	 19.4	 0.257	10.406	 4.538
   20.2	 26.1	 36.5	 23.6	 22.4	 12.9	 46.2	 17.9	 19.2	 0.262	10.426	 4.497
   21.1	 26.1	 36.6	 23.5	 22.5	 12.8	 46.3	 18.0	 19.0	 0.260	10.406	 4.476
   21.9	 26.1	 36.6	 23.5	 22.5	 12.8	 46.3	 18.2	 18.7	 0.264	10.467	 4.456
   22.7	 26.1	 36.6	 23.4	 22.5	 12.8	 46.5	 18.6	 18.5	 0.264	10.447	 4.435
   23.5	 26.0	 36.7	 23.4	 22.5	 12.9	 46.5	 18.9	 18.3	 0.260	10.508	 4.415
   24.4	 26.0	 36.7	 23.3	 22.5	 13.3	 46.7	 19.1	 18.0	 0.266	10.447	 4.374
   25.2	 26.0	 36.7	 23.3	 22.5	 13.5	 46.8	 19.4	 17.9	 0.260	10.508	 4.354
   26.0	 26.0	 36.7	 23.3	 22.5	 13.7	 46.9	 19.9	 17.8	 0.269	10.426	 4.333
   26.8	 26.0	 36.7	 23.1	 22.4	 14.1	 47.0	 20.2	 17.5	 0.265	10.447	 4.313
   27.6	 26.0	 36.7	 23.1	 22.5	 14.3	 47.2	 20.6	 17.4	 0.265	10.406	 4.292
   28.4	 26.0	 36.7	 23.1	 22.4	 14.5	 47.3	 21.2	 17.3	 0.264	10.406	 4.272
   29.3	 26.0	 36.7	 23.0	 22.5	 14.8	 47.4	 21.6	 17.0	 0.260	10.488	 4.272
   30.1	 26.0	 36.7	 22.8	 22.5	 15.0	 47.5	 22.0	 16.9	 0.267	10.406	 4.231
   30.9	 26.0	 36.7	 22.6	 22.5	 15.1	 47.7	 22.7	 16.8	 0.265	10.467	 4.211
   31.7	 26.0	 36.7	 22.5	 22.4	 15.4	 47.8	 23.1	 16.7	 0.266	10.426	 4.211
   32.6	 26.0	 36.7	 22.5	 22.5	 15.5	 47.9	 23.5	 16.5	 0.255	10.386	 4.170
   33.4	 26.0	 36.7	 22.6	 22.8	 15.6	 48.1	 24.0	 16.4	 0.263	10.406	 4.170
   34.2	 26.1	 36.7	 22.7	 22.5	 15.8	 48.2	 24.9	 16.3	 0.267	10.365	 4.149
   35.0	 26.1	 36.7	 22.7	 21.6	 15.8	 48.3	 25.3	 16.1	 0.257	10.406	 4.170
   35.9	 26.1	 36.7	 22.8	 17.6	 15.9	 48.5	 25.7	 16.1	 0.258	10.447	 4.170
   36.7	 26.1	 36.7	 22.8	 16.9	 16.0	 48.6	 26.6	 16.0	 0.263	10.426	 4.211
   37.5	 26.1	 36.7	 22.8	 16.7	 16.0	 48.7	 27.0	 15.9	 0.263	10.426	 4.211
   38.3	 26.2	 36.7	 22.8	 16.5	 15.8	 48.8	 27.3	 15.8	 0.270	10.447	 4.231
   39.2	 26.2	 36.7	 22.8	 16.6	 15.5	 48.9	 28.1	 15.8	 0.266	10.386	 4.231
   39.9	 26.3	 36.7	 22.9	 16.7	 13.1	 48.9	 28.5	 15.8	 0.268	10.386	 4.354
   40.8	 26.3	 36.7	 22.9	 16.8	 12.2	 49.0	 28.9	 15.8	 0.259	10.386	 4.211
   41.6	 26.3	 36.7	 22.9	 16.8	 11.9	 49.1	 29.5	 15.8	 0.261	10.426	 4.252
   42.5	 26.3	 36.7	 23.0	 16.9	 12.1	 49.1	 29.8	 15.8	 0.262	10.488	 4.170
   43.3	 26.3	 36.8	 23.0	 17.0	 12.2	 49.1	 30.1	 15.8	 0.267	10.447	 4.170
   44.1	 26.4	 36.8	 23.0	 17.0	 12.5	 49.2	 30.7	 15.9	 0.263	10.386	 4.170
   44.9	 26.4	 36.8	 23.0	 17.1	 12.9	 49.2	 30.9	 15.9	 0.266	10.426	 4.170
   45.8	 26.4	 36.8	 23.1	 17.1	 13.1	 49.2	 31.2	 15.9	 0.266	10.406	 4.149
   46.6	 26.5	 36.8	 23.1	 17.2	 13.3	 49.3	 31.4	 15.9	 0.261	10.447	 4.149
   47.5	 26.5	 36.9	 23.0	 17.2	 13.3	 49.4	 31.8	 15.9	 0.264	10.447	 4.190
   48.3	 26.6	 36.9	 23.1	 17.3	 13.3	 49.4	 32.0	 15.9	 0.260	10.426	 4.190
   49.1	 26.6	 36.9	 23.1	 17.4	 13.3	 49.4	 32.2	 15.9	 0.262	10.447	 4.231
   49.9	 26.6	 36.9	 23.1	 17.4	 13.2	 49.4	 32.5	 15.9	 0.261	10.467	 4.292
   50.8	 26.7	 37.0	 23.1	 17.4	 13.2	 49.4	 32.6	 15.9	 0.258	10.529	 4.252
   51.6	 26.7	 37.0	 23.0	 17.4	 13.0	 49.4	 32.7	 15.9	 0.257	10.508	 4.272
   52.5	 26.7	 37.0	 23.1	 17.5	 12.8	 49.4	 32.9	 15.9	 0.264	10.529	 4.313
   53.3	 26.8	 37.1	 23.1	 17.5	 12.8	 49.4	 33.0	 15.9	 0.260	10.549	 4.292
   54.1	 26.8	 37.1	 23.1	 17.5	 12.8	 49.2	 33.1	 15.9	 0.264	10.570	 4.292
   54.9	 26.9	 37.1	 23.0	 17.5	 12.8	 49.2	 33.2	 15.8	 0.259	10.651	 4.292
   55.8	 26.9	 37.2	 23.0	 17.5	 12.8	 49.2	 33.3	 15.8	 0.260	10.651	 4.313
   56.6	 26.9	 37.2	 23.0	 17.5	 12.7	 49.1	 33.3	 15.8	 0.255	10.631	 4.292
   57.5	 26.9	 37.3	 23.0	 17.5	 12.6	 49.0	 33.4	 15.8	 0.267	10.692	 4.333
   58.3	 27.0	 37.4	 23.1	 17.5	 12.6	 48.9	 33.5	 15.7	 0.264	10.672	 4.354
   59.1	 27.0	 37.4	 23.1	 17.5	 12.5	 48.8	 33.5	 15.7	 0.264	10.692	 4.354
   59.9	 27.1	 37.4	 23.0	 17.6	 12.5	 48.7	 33.6	 15.7	 0.265	10.774	 4.374
   60.8	 27.1	 37.5	 23.1	 17.6	 12.6	 48.6	 33.6	 15.6	 0.258	10.795	 4.395
   61.6	 27.1	 37.6	 23.0	 17.6	 12.6	 48.4	 33.6	 15.6	 0.264	10.795	 4.415
   62.5	 27.1	 37.6	 23.0	 17.6	 12.6	 48.4	 33.6	 15.5	 0.263	10.836	 4.395
   63.3	 27.1	 37.7	 23.0	 17.5	 12.7	 48.3	 33.7	 15.5	 0.262	10.938	 4.395
   64.2	 27.1	 37.8	 23.0	 17.6	 12.7	 48.2	 33.7	 15.4	 0.266	10.836	 4.374
   65.0	 27.2	 37.8	 23.0	 17.5	 12.7	 48.2	 33.7	 15.4	 0.261	10.876	 4.395
   65.8	 27.3	 37.9	 23.0	 17.5	 12.7	 48.1	 33.7	 15.4	 0.266	10.917	 4.395
   66.6	 27.3	 38.0	 23.0	 17.6	 12.7	 48.2	 33.7	 15.3	 0.257	10.856	 4.395
   67.5	 27.3	 38.0	 23.1	 17.5	 12.7	 48.2	 33.7	 15.3	 0.263	10.897	 4.374
   68.3	 27.3	 38.1	 23.0	 17.5	 12.6	 48.2	 33.7	 15.3	 0.265	10.917	 4.395
   69.2	 27.4	 38.2	 23.0	 17.5	 12.6	 48.2	 33.6	 15.2	 0.269	10.917	 4.395
   70.0	 27.4	 38.2	 23.0	 17.4	 12.7	 48.2	 33.7	 15.2	 0.270	10.999	 4.395
   70.8	 27.4	 38.3	 23.0	 17.4	 12.7	 48.2	 33.6	 15.1	 0.263	11.020	 4.415
   71.6	 27.4	 38.3	 23.1	 17.4	 12.6	 48.2	 33.6	 15.1	 0.262	10.958	 4.395
   72.5	 27.5	 38.3	 23.1	 17.4	 12.6	 48.2	 33.6	 15.1	 0.262	10.979	 4.395
   73.3	 27.5	 38.4	 23.1	 17.4	 12.6	 48.2	 33.6	 15.1	 0.267	11.020	 4.395
   74.2	 27.5	 38.5	 23.1	 17.4	 12.6	 48.3	 33.6	 15.0	 0.259	11.020	 4.415
   75.0	 27.6	 38.5	 23.1	 17.3	 12.6	 48.3	 33.5	 14.9	 0.260	11.040	 4.435
   75.9	 27.6	 38.5	 22.9	 17.3	 12.6	 48.4	 33.5	 14.9	 0.267	11.020	 4.415
   76.6	 27.6	 38.6	 22.9	 17.3	 12.6	 48.4	 33.4	 14.9	 0.265	11.040	 4.415
   77.5	 27.7	 38.6	 22.9	 17.3	 12.6	 48.4	 33.4	 14.8	 0.263	11.060	 4.415
   78.3	 27.7	 38.6	 23.0	 17.3	 12.5	 48.4	 33.4	 14.8	 0.266	11.060	 4.435
   79.2	 27.7	 38.7	 23.0	 17.2	 12.5	 48.4	 33.3	 14.7	 0.267	11.122	 4.415
   80.0	 27.7	 38.7	 23.0	 17.2	 12.5	 48.5	 33.3	 14.7	 0.261	11.101	 4.415
   80.8	 27.7	 38.7	 23.0	 17.2	 12.5	 48.5	 33.2	 14.7	 0.262	11.163	 4.497
   81.6	 27.7	 38.8	 23.1	 17.2	 12.5	 48.5	 33.2	 14.6	 0.259	11.163	 4.415
   82.5	 27.8	 38.9	 23.1	 17.2	 12.5	 48.5	 33.2	 14.6	 0.263	11.122	 4.415
   83.3	 27.8	 38.9	 23.2	 17.2	 12.5	 48.5	 33.2	 14.6	 0.264	11.101	 4.415
   84.1	 27.8	 39.0	 23.2	 17.2	 12.5	 48.6	 33.1	 14.5	 0.262	11.142	 4.395
   84.9	 27.8	 39.0	 23.1	 17.2	 12.5	 48.6	 33.1	 14.5	 0.258	11.142	 4.415
   85.8	 27.9	 39.0	 23.1	 17.2	 12.6	 48.7	 33.0	 14.5	 0.267	11.224	 4.415
   86.6	 27.9	 39.1	 23.2	 17.2	 12.6	 48.7	 33.0	 14.4	 0.261	11.204	 4.415
   87.4	 27.9	 39.1	 23.2	 17.2	 12.6	 48.7	 33.0	 14.4	 0.263	11.245	 4.558
   88.3	 27.9	 39.1	 23.1	 17.2	 12.7	 48.8	 33.0	 14.3	 0.260	11.204	 4.395
   89.2	 28.0	 39.2	 23.2	 17.3	 12.8	 48.8	 33.0	 14.3	 0.260	11.204	 4.395
   90.0	 28.0	 39.3	 23.1	 17.2	 12.8	 48.9	 32.9	 14.2	 0.266	11.245	 4.374
   90.8	 28.0	 39.3	 23.2	 17.2	 13.0	 49.0	 32.9	 14.2	 0.270	11.285	 4.374
   91.6	 28.1	 39.3	 23.2	 17.2	 13.1	 49.0	 32.8	 14.1	 0.269	11.204	 4.415
   92.5	 28.1	 39.4	 23.1	 17.2	 13.3	 49.0	 32.8	 14.1	 0.261	11.285	 4.374
   93.3	 28.1	 39.4	 23.1	 17.1	 13.5	 49.1	 32.8	 14.1	 0.261	11.224	 4.354
   94.2	 28.1	 39.4	 23.1	 17.1	 13.6	 49.1	 32.7	 14.0	 0.263	11.306	 4.354
   95.0	 28.2	 39.4	 23.1	 17.1	 13.7	 49.1	 32.7	 14.0	 0.261	11.245	 4.456
   95.9	 28.2	 39.4	 23.1	 17.1	 13.9	 49.1	 32.7	 13.9	 0.259	11.326	 4.333
   96.7	 28.2	 39.5	 23.0	 17.1	 14.0	 49.1	 32.7	 13.9	 0.259	11.306	 4.333
   97.6	 28.2	 39.5	 23.0	 17.1	 14.1	 49.3	 32.7	 13.8	 0.265	11.306	 4.313
   98.4	 28.3	 39.5	 22.9	 17.2	 14.3	 49.3	 32.7	 13.8	 0.259	11.245	 4.292
   99.2	 28.3	 39.6	 22.9	 17.2	 14.4	 49.3	 32.7	 13.7	 0.266	11.326	 4.272
  100.0	 28.3	 39.6	 23.0	 17.2	 14.5	 49.4	 32.7	 13.6	 0.260	11.245	 4.272
  100.9	 28.4	 39.6	 23.0	 17.3	 14.7	 49.4	 32.7	 13.6	 0.263	11.224	 4.231
  101.7	 28.4	 39.6	 23.0	 17.4	 14.7	 49.5	 32.7	 13.5	 0.256	11.245	 4.252
  102.6	 28.4	 39.7	 23.0	 17.4	 14.8	 49.5	 32.7	 13.4	 0.260	11.224	 4.252
  103.4	 28.5	 39.7	 23.0	 17.5	 15.0	 49.5	 32.7	 13.4	 0.263	11.245	 4.231
  104.2	 28.5	 39.7	 23.1	 17.5	 15.0	 49.5	 32.8	 13.3	 0.259	11.224	 4.231
  105.0	 28.5	 39.7	 23.0	 17.5	 15.1	 49.6	 32.8	 13.3	 0.266	11.224	 4.211
  105.9	 28.6	 39.7	 23.0	 17.5	 15.3	 49.6	 32.9	 13.2	 0.260	11.285	 4.211
  106.7	 28.6	 39.7	 23.0	 17.5	 15.4	 49.7	 32.9	 13.1	 0.260	11.204	 4.211
  107.6	 28.6	 39.7	 23.0	 17.5	 15.4	 49.8	 32.9	 13.1	 0.263	11.265	 4.211
  108.4	 28.6	 39.7	 23.0	 17.4	 15.5	 49.8	 33.0	 13.0	 0.264	11.245	 4.211
  109.3	 28.7	 39.7	 23.0	 17.4	 15.7	 49.9	 33.1	 13.0	 0.267	11.285	 4.190
  110.1	 28.7	 39.7	 23.0	 17.3	 15.8	 50.0	 33.2	 13.0	 0.255	11.204	 4.190
  110.9	 28.7	 39.7	 22.9	 17.3	 15.9	 50.1	 33.3	 13.0	 0.259	11.285	 4.190
  111.7	 28.8	 39.7	 22.9	 17.3	 16.0	 50.2	 33.4	 13.0	 0.267	11.204	 4.190
  112.6	 28.8	 39.7	 22.9	 17.3	 16.1	 50.3	 33.5	 13.0	 0.267	11.265	 4.190
  113.4	 28.8	 39.7	 22.9	 17.2	 16.2	 50.4	 33.7	 12.9	 0.263	11.204	 4.190
  114.3	 28.8	 39.7	 22.9	 17.2	 16.3	 50.4	 33.8	 12.9	 0.261	11.265	 4.170
  115.1	 28.8	 39.7	 22.9	 17.2	 16.4	 50.6	 33.8	 12.9	 0.266	11.245	 4.190
  116.0	 28.9	 39.8	 23.0	 17.2	 16.4	 50.6	 34.0	 12.8	 0.266	11.285	 4.170
  116.8	 29.0	 39.8	 23.0	 17.2	 16.5	 50.6	 34.1	 12.8	 0.261	11.204	 4.170
  117.7	 29.0	 39.8	 23.0	 17.1	 16.6	 50.8	 34.1	 12.8	 0.264	11.285	 4.272
  118.5	 29.1	 39.8	 23.1	 17.2	 16.6	 50.8	 34.3	 12.8	 0.263	11.183	 4.190
  119.3	 29.1	 39.8	 23.1	 17.1	 16.7	 50.9	 34.4	 12.8	 0.270	11.224	 4.170
  120.1	 29.1	 39.9	 22.9	 17.1	 16.8	 51.0	 34.5	 12.8	 0.270	11.224	 4.170
  121.0	 29.1	 39.8	 22.9	 17.1	 16.8	 51.0	 34.7	 12.8	 0.263	11.285	 4.190
  121.8	 29.1	 39.9	 22.9	 17.1	 16.9	 51.1	 34.8	 12.8	 0.265	11.245	 4.170
  122.7	 29.1	 39.9	 22.9	 17.2	 17.0	 51.2	 34.9	 12.8	 0.267	11.224	 4.190
  123.5	 29.2	 39.9	 23.0	 17.2	 17.0	 51.2	 35.2	 12.8	 0.261	11.326	 4.190
  124.4	 29.2	 40.0	 23.0	 17.2	 17.1	 51.3	 35.3	 12.8	 0.258	11.224	 4.190
  125.2	 29.3	 40.0	 23.0	 17.3	 17.1	 51.4	 35.4	 12.8	 0.262	11.326	 4.190
  126.1	 29.3	 40.0	 23.0	 17.2	 17.2	 51.4	 35.5	 12.8	 0.259	11.285	 4.231
  126.9	 29.4	 40.1	 23.0	 17.2	 17.2	 51.5	 35.6	 12.8	 0.268	11.306	 4.190
  127.7	 29.4	 40.1	 23.0	 17.3	 17.3	 51.5	 35.7	 12.8	 0.267	11.285	 4.190
  128.5	 29.4	 40.1	 23.0	 17.3	 17.3	 51.6	 35.9	 12.8	 0.265	11.245	 4.211
  129.4	 29.4	 40.1	 23.0	 17.2	 17.4	 51.6	 35.9	 12.8	 0.260	11.285	 4.190
  130.2	 29.5	 40.1	 23.0	 17.2	 17.4	 51.7	 36.1	 12.8	 0.263	11.285	 4.211
  131.1	 29.5	 40.1	 23.0	 17.2	 17.5	 51.8	 36.2	 12.8	 0.264	11.285	 4.190
  131.9	 29.6	 40.1	 23.0	 17.2	 17.5	 51.8	 36.3	 12.8	 0.268	11.306	 4.211
  132.8	 29.6	 40.2	 23.1	 17.2	 17.5	 51.8	 36.3	 12.8	 0.262	11.285	 4.211
  133.6	 29.7	 40.2	 23.0	 17.2	 17.5	 51.9	 36.5	 12.8	 0.271	11.285	 4.211
  134.5	 29.7	 40.2	 23.1	 17.3	 17.6	 51.9	 36.5	 12.8	 0.261	11.285	 4.211
  135.3	 29.7	 40.2	 23.0	 17.2	 17.6	 52.0	 36.6	 12.8	 0.271	11.347	 4.211
  136.1	 29.7	 40.2	 23.0	 17.2	 17.7	 52.1	 36.8	 12.9	 0.260	11.265	 4.231
  136.9	 29.7	 40.3	 23.1	 17.2	 17.7	 52.1	 36.8	 12.9	 0.264	11.347	 4.231
  137.8	 29.7	 40.3	 23.0	 17.2	 17.7	 52.1	 36.9	 12.9	 0.255	11.347	 4.231
  138.6	 29.8	 40.3	 23.0	 17.2	 17.8	 52.2	 37.0	 12.9	 0.263	11.326	 4.231
  139.5	 29.8	 40.4	 22.9	 17.2	 17.8	 52.2	 37.1	 12.9	 0.258	11.429	 4.252
  140.3	 29.8	 40.4	 22.9	 17.2	 17.8	 52.3	 37.1	 12.9	 0.268	11.347	 4.252
  141.2	 29.8	 40.4	 22.9	 17.2	 17.8	 52.4	 37.2	 12.9	 0.269	11.449	 4.252
  142.0	 29.8	 40.5	 22.9	 17.2	 17.8	 52.4	 37.2	 12.9	 0.261	11.449	 4.252
  142.9	 29.9	 40.5	 22.9	 17.2	 17.8	 52.5	 37.2	 12.9	 0.261	11.388	 4.252
  143.7	 29.9	 40.5	 23.0	 17.2	 17.9	 52.5	 37.3	 13.0	 0.261	11.408	 4.252
  144.6	 29.9	 40.5	 23.0	 17.2	 17.9	 52.5	 37.4	 13.0	 0.260	11.429	 4.252
  145.4	 29.9	 40.6	 23.0	 17.2	 17.9	 52.6	 37.4	 13.0	 0.267	11.470	 4.252
  146.2	 30.0	 40.6	 23.0	 17.3	 18.0	 52.6	 37.5	 13.0	 0.264	11.388	 4.252
  147.0	 30.0	 40.6	 23.1	 17.3	 18.0	 52.6	 37.5	 13.0	 0.260	11.490	 4.272
  147.9	 30.1	 40.6	 23.0	 17.3	 18.0	 52.6	 37.5	 13.0	 0.265	11.429	 4.272
  148.7	 30.1	 40.6	 23.0	 17.3	 18.0	 52.7	 37.6	 13.0	 0.258	11.449	 4.272
  149.6	 30.1	 40.7	 23.0	 17.3	 18.0	 52.7	 37.6	 13.0	 0.264	11.429	 4.292
  150.4	 30.2	 40.7	 23.0	 17.3	 18.0	 52.8	 37.6	 13.1	 0.265	11.429	 4.272
  151.3	 30.2	 40.7	 22.9	 17.2	 18.0	 52.9	 37.7	 13.1	 0.262	11.510	 4.272
  152.1	 30.2	 40.8	 22.9	 17.3	 18.0	 52.9	 37.7	 13.1	 0.259	11.490	 4.272
  153.0	 30.2	 40.8	 22.9	 17.3	 18.0	 52.9	 37.7	 13.1	 0.263	11.449	 4.292
  153.8	 30.2	 40.8	 23.0	 17.3	 18.1	 52.9	 37.7	 13.1	 0.264	11.572	 4.292
  154.7	 30.3	 40.9	 22.9	 17.3	 18.1	 53.0	 37.8	 13.1	 0.266	11.531	 4.292
  155.5	 30.3	 40.9	 23.0	 17.3	 18.1	 53.1	 37.8	 13.1	 0.258	11.490	 4.292
  156.4	 30.3	 40.9	 23.0	 17.3	 18.1	 53.1	 37.8	 13.1	 0.264	11.592	 4.313
  157.2	 30.3	 41.0	 23.0	 17.3	 18.1	 53.2	 37.8	 13.2	 0.264	11.592	 4.292
  158.1	 30.4	 41.0	 23.0	 17.3	 18.1	 53.2	 37.8	 13.2	 0.258	11.531	 4.313
  158.9	 30.4	 41.0	 23.0	 17.3	 18.1	 53.2	 37.9	 13.2	 0.255	11.592	 4.313
  159.7	 30.4	 41.0	 23.0	 17.3	 18.1	 53.2	 37.8	 13.2	 0.260	11.531	 4.313
  160.6	 30.5	 41.1	 23.0	 17.3	 18.1	 53.3	 37.9	 13.2	 0.264	11.551	 4.313
  161.4	 30.5	 41.1	 22.9	 17.3	 18.2	 53.3	 37.9	 13.2	 0.263	11.572	 4.313
  162.2	 30.5	 41.1	 22.9	 17.3	 18.2	 53.4	 37.9	 13.3	 0.263	11.613	 4.333
  163.1	 30.5	 41.2	 23.0	 17.3	 18.2	 53.4	 37.9	 13.3	 0.258	11.674	 4.333
  163.9	 30.6	 41.2	 22.9	 17.3	 18.1	 53.4	 37.9	 13.3	 0.260	11.633	 4.313
  164.8	 30.6	 41.2	 22.8	 17.3	 18.1	 53.5	 37.9	 13.3	 0.266	11.633	 4.333
  165.6	 30.6	 41.2	 22.8	 17.3	 18.1	 53.5	 37.9	 13.3	 0.262	11.674	 4.333
  166.5	 30.6	 41.3	 22.8	 17.3	 18.2	 53.6	 38.0	 13.3	 0.259	11.592	 4.354
  167.3	 30.6	 41.3	 22.8	 17.4	 18.2	 53.7	 38.0	 13.3	 0.266	11.613	 4.354
  168.2	 30.7	 41.3	 22.7	 17.4	 18.2	 53.7	 38.1	 13.4	 0.265	11.613	 4.333
  169.0	 30.7	 41.4	 22.8	 17.4	 18.2	 53.8	 38.1	 13.4	 0.262	11.613	 4.354
  169.9	 30.8	 41.4	 23.0	 17.4	 18.2	 53.9	 38.2	 13.4	 0.263	11.735	 4.333
  170.7	 30.8	 41.4	 23.1	 17.3	 18.3	 53.9	 38.2	 13.4	 0.257	11.695	 4.354
  171.6	 30.8	 41.5	 23.1	 17.4	 18.2	 53.9	 38.2	 13.5	 0.258	11.715	 4.354
  172.4	 30.8	 41.5	 23.0	 17.4	 18.3	 54.0	 38.2	 13.5	 0.263	11.756	 4.354
  173.3	 30.8	 41.5	 23.0	 17.4	 18.3	 54.0	 38.3	 13.5	 0.268	11.654	 4.374
  174.1	 30.8	 41.6	 23.0	 17.4	 18.3	 54.0	 38.3	 13.5	 0.266	11.695	 4.354
  174.9	 30.9	 41.6	 23.0	 17.3	 18.2	 54.0	 38.3	 13.5	 0.265	11.695	 4.374
  175.7	 30.9	 41.6	 22.9	 17.3	 18.2	 54.1	 38.3	 13.5	 0.260	11.695	 4.374
  176.6	 30.9	 41.6	 23.0	 17.3	 18.2	 54.1	 38.3	 13.5	 0.265	11.797	 4.354
  177.4	 31.0	 41.7	 23.0	 17.3	 18.2	 54.1	 38.3	 13.5	 0.258	11.776	 4.374
  178.3	 31.0	 41.7	 22.9	 17.3	 18.3	 54.2	 38.4	 13.6	 0.263	11.715	 4.374
  179.1	 31.0	 41.7	 23.0	 17.3	 18.3	 54.3	 38.4	 13.6	 0.262	11.756	 4.374
  180.0	 31.1	 41.8	 23.0	 17.4	 18.3	 54.3	 38.4	 13.6	 0.262	11.756	 4.374
  180.8	 31.1	 41.8	 23.0	 17.4	 18.3	 54.3	 38.5	 13.6	 0.265	11.756	 4.395
  181.7	 31.1	 41.8	 23.0	 17.4	 18.3	 54.4	 38.5	 13.6	 0.260	11.879	 4.395
  182.5	 31.1	 41.8	 23.0	 17.4	 18.2	 54.4	 38.5	 13.6	 0.260	11.838	 4.374
  183.4	 31.1	 41.9	 22.9	 17.3	 18.2	 54.4	 38.5	 13.6	 0.254	11.776	 4.395
  184.2	 31.1	 41.9	 22.9	 17.3	 18.2	 54.4	 38.5	 13.6	 0.268	11.817	 4.395
  185.1	 31.2	 41.9	 22.9	 17.3	 18.2	 54.4	 38.5	 13.6	 0.261	11.899	 4.395
  185.9	 31.2	 42.0	 23.0	 17.3	 18.2	 54.4	 38.6	 13.6	 0.257	11.920	 4.395
  186.8	 31.3	 42.0	 23.0	 17.3	 18.2	 54.5	 38.6	 13.6	 0.263	11.838	 4.415
  187.6	 31.3	 42.0	 22.9	 17.3	 18.2	 54.5	 38.6	 13.7	 0.257	11.838	 4.395
  188.5	 31.3	 42.1	 22.9	 17.3	 18.2	 54.6	 38.6	 13.7	 0.257	11.940	 4.395
  189.3	 31.3	 42.1	 22.8	 17.3	 18.2	 54.6	 38.7	 13.7	 0.256	11.920	 4.415
  190.2	 31.3	 42.1	 22.7	 17.3	 18.2	 54.6	 38.7	 13.7	 0.260	11.879	 4.415
  191.0	 31.3	 42.1	 22.7	 17.3	 18.2	 54.7	 38.8	 13.8	 0.256	11.899	 4.415
  191.9	 31.3	 42.2	 22.8	 17.2	 18.3	 54.8	 38.8	 13.8	 0.264	11.940	 4.415
  192.7	 31.4	 42.2	 22.8	 17.2	 18.3	 54.8	 38.8	 13.8	 0.260	12.001	 4.415
  193.6	 31.4	 42.2	 22.9	 17.2	 18.2	 54.8	 38.8	 13.8	 0.266	11.920	 4.415
  194.4	 31.4	 42.2	 22.9	 17.2	 18.2	 54.9	 38.8	 13.8	 0.263	11.899	 4.415
  195.2	 31.5	 42.3	 22.9	 17.2	 18.2	 54.9	 38.8	 13.8	 0.256	11.960	 4.435
  196.1	 31.5	 42.3	 22.8	 17.2	 18.2	 54.9	 38.8	 13.8	 0.264	12.022	 4.415
  196.9	 31.4	 42.3	 22.8	 17.2	 18.2	 55.0	 38.8	 13.8	 0.259	11.940	 4.415
